age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,state_gov,bachelors,13,never_married,adm_clerical,not_in_family,white,male,2174,0,40,united_states,0
50,self_emp_not_inc,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,13,united_states,0
38,private,hs_grad,9,divorced,handlers_cleaners,not_in_family,white,male,0,0,40,united_states,0
53,private,11th,7,married_civ_spouse,handlers_cleaners,husband,black,male,0,0,40,united_states,0
28,private,bachelors,13,married_civ_spouse,prof_specialty,wife,black,female,0,0,40,cuba,0
37,private,masters,14,married_civ_spouse,exec_managerial,wife,white,female,0,0,40,united_states,0
49,private,9th,5,married_spouse_absent,other_service,not_in_family,black,female,0,0,16,jamaica,0
52,self_emp_not_inc,hs_grad,9,married_civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,1
31,private,masters,14,never_married,prof_specialty,not_in_family,white,female,14084,0,50,united_states,1
42,private,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,5178,0,40,united_states,1
37,private,some_college,10,married_civ_spouse,exec_managerial,husband,black,male,0,0,80,united_states,1
30,state_gov,bachelors,13,married_civ_spouse,prof_specialty,husband,asian_pac_islander,male,0,0,40,india,1
23,private,bachelors,13,never_married,adm_clerical,own_child,white,female,0,0,30,united_states,0
32,private,assoc_acdm,12,never_married,sales,not_in_family,black,male,0,0,50,united_states,0
40,private,assoc_voc,11,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,unknown,1
34,private,7th_8th,4,married_civ_spouse,transport_moving,husband,amer_indian_eskimo,male,0,0,45,mexico,0
25,self_emp_not_inc,hs_grad,9,never_married,farming_fishing,own_child,white,male,0,0,35,united_states,0
32,private,hs_grad,9,never_married,machine_op_inspct,unmarried,white,male,0,0,40,united_states,0
38,private,11th,7,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,0
43,self_emp_not_inc,masters,14,divorced,exec_managerial,unmarried,white,female,0,0,45,united_states,1
40,private,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,1
54,private,hs_grad,9,separated,other_service,unmarried,black,female,0,0,20,united_states,0
35,federal_gov,9th,5,married_civ_spouse,farming_fishing,husband,black,male,0,0,40,united_states,0
43,private,11th,7,married_civ_spouse,transport_moving,husband,white,male,0,2042,40,united_states,0
59,private,hs_grad,9,divorced,tech_support,unmarried,white,female,0,0,40,united_states,0
56,local_gov,bachelors,13,married_civ_spouse,tech_support,husband,white,male,0,0,40,united_states,1
19,private,hs_grad,9,never_married,craft_repair,own_child,white,male,0,0,40,united_states,0
54,unknown,some_college,10,married_civ_spouse,unknown,husband,asian_pac_islander,male,0,0,60,south,1
39,private,hs_grad,9,divorced,exec_managerial,not_in_family,white,male,0,0,80,united_states,0
49,private,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
23,local_gov,assoc_acdm,12,never_married,protective_serv,not_in_family,white,male,0,0,52,united_states,0
20,private,some_college,10,never_married,sales,own_child,black,male,0,0,44,united_states,0
45,private,bachelors,13,divorced,exec_managerial,own_child,white,male,0,1408,40,united_states,0
30,federal_gov,some_college,10,married_civ_spouse,adm_clerical,own_child,white,male,0,0,40,united_states,0
22,state_gov,some_college,10,married_civ_spouse,other_service,husband,black,male,0,0,15,united_states,0
48,private,11th,7,never_married,machine_op_inspct,unmarried,white,male,0,0,40,puerto_rico,0
21,private,some_college,10,never_married,machine_op_inspct,own_child,white,male,0,0,40,united_states,0
19,private,hs_grad,9,married_af_spouse,adm_clerical,wife,white,female,0,0,25,united_states,0
31,private,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,38,unknown,1
48,self_emp_not_inc,assoc_acdm,12,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,0
31,private,9th,5,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,43,united_states,0
53,self_emp_not_inc,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,0
24,private,bachelors,13,married_civ_spouse,tech_support,husband,white,male,0,0,50,united_states,0
49,private,hs_grad,9,separated,adm_clerical,unmarried,white,female,0,0,40,united_states,0
25,private,hs_grad,9,never_married,handlers_cleaners,not_in_family,white,male,0,0,35,united_states,0
57,federal_gov,bachelors,13,married_civ_spouse,prof_specialty,husband,black,male,0,0,40,united_states,1
53,private,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,38,united_states,0
44,private,masters,14,divorced,exec_managerial,unmarried,white,female,0,0,40,united_states,0
41,state_gov,assoc_voc,11,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
29,private,assoc_voc,11,never_married,prof_specialty,not_in_family,white,male,0,0,43,united_states,0
25,private,some_college,10,married_civ_spouse,exec_managerial,wife,other,female,0,0,40,united_states,0
18,private,hs_grad,9,never_married,other_service,own_child,white,female,0,0,30,unknown,0
47,private,prof_school,15,married_civ_spouse,prof_specialty,wife,white,female,0,1902,60,honduras,1
50,federal_gov,bachelors,13,divorced,exec_managerial,not_in_family,white,male,0,0,55,united_states,1
47,self_emp_inc,hs_grad,9,divorced,exec_managerial,not_in_family,white,male,0,0,60,united_states,0
43,private,some_college,10,married_civ_spouse,tech_support,husband,white,male,0,0,40,united_states,1
46,private,5th_6th,3,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,0
35,private,assoc_voc,11,married_civ_spouse,other_service,husband,white,male,0,0,40,puerto_rico,0
41,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,48,united_states,0
30,private,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,white,male,5013,0,40,united_states,0
30,private,bachelors,13,married_civ_spouse,sales,husband,white,male,2407,0,40,united_states,0
32,unknown,7th_8th,4,married_spouse_absent,unknown,not_in_family,white,male,0,0,40,unknown,0
48,private,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,0
42,private,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,45,united_states,1
29,private,some_college,10,divorced,tech_support,not_in_family,white,male,0,0,58,united_states,0
36,private,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
28,private,some_college,10,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
53,private,hs_grad,9,married_civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,1
49,self_emp_inc,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,1
25,unknown,some_college,10,never_married,unknown,own_child,white,male,0,0,40,united_states,0
19,private,some_college,10,never_married,prof_specialty,own_child,white,male,0,0,32,united_states,0
31,private,bachelors,13,separated,sales,own_child,black,female,0,0,40,united_states,0
29,self_emp_not_inc,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,70,united_states,1
23,private,some_college,10,never_married,machine_op_inspct,not_in_family,white,male,0,0,40,united_states,0
79,private,some_college,10,married_civ_spouse,prof_specialty,other_relative,white,male,0,0,20,united_states,0
